,playlist_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,diff_duration_ms,diff_danceability,diff_energy,diff_key,diff_loudness,diff_mode,diff_speechiness,diff_acousticness,diff_instrumentalness,diff_liveness,diff_valence,diff_tempo,diff_time_signature
0,0,230199.33870967742,0.6940322580645162,0.7179516129032257,5.016129032258065,-5.626774193548387,0.46774193548387094,0.09553064516129033,0.12830075806451613,0.01751086887096774,0.18135483870967742,0.5654806451612904,118.6998064516129,4.0,364.3606557377049,-0.00101639344262295,0.0003770491803278692,0.0,0.017377049180327876,0.0,-0.00028688524590163983,0.0021965573770491814,-1.3360655737697805e-06,0.0015344262295081967,-0.00939344262295082,0.5071803278688523,0.0
1,1,223173.42045454544,0.6940113636363636,0.7050624999999999,5.363636363636363,-5.345647727272727,0.6704545454545454,0.12141534090909091,0.10587999999999999,0.0032101932954545455,0.19122784090909092,0.5233653409090909,121.37311363636364,4.0,104.14857142857143,-0.00012571428571428616,0.0006057142857142859,-0.022857142857142857,0.0027657142857142906,0.005714285714285714,-3.257142857142887e-05,0.0012221714285714292,-6.571428571428498e-07,0.0009394285714285726,0.0001257142857142855,0.155,0.0
2,2,217341.0612244898,0.7742857142857142,0.6964489795918367,5.173469387755102,-5.906510204081632,0.5918367346938775,0.19645408163265307,0.1011343469387755,0.0076788921428571424,0.16749999999999998,0.5768908163265306,123.10486734693878,4.010204081632653,-91.68041237113403,0.0001134020618556702,0.003144329896907217,-0.09278350515463918,0.06396907216494846,0.010309278350515464,0.002123711340206187,0.0006556701030927845,-1.1340206185578275e-07,-0.0008659793814432977,0.0030721649484536074,0.1846494845360825,0.0
3,3,221365.4,0.7495499999999999,0.5984499999999999,5.25,-6.484350000000001,0.55,0.1389,0.146152,0.0016170310000000001,0.148705,0.513895,123.726,3.9,2038.842105263158,0.01057894736842105,-0.004473684210526314,0.42105263157894735,-0.11415789473684208,0.05263157894736842,0.004584210526315787,-0.004578947368421054,0.0,-0.0023684210526315782,0.020263157894736844,2.7161052631578952,0.05263157894736842
4,4,218697.3,0.6738999999999999,0.6971999999999999,6.8,-6.1256,0.4,0.16997,0.15531319999999998,0.008781886,0.18250000000000002,0.564,127.2838,4.1,1007.3333333333334,-0.053111111111111116,0.01777777777777778,0.4444444444444444,-0.1767777777777778,0.1111111111111111,-0.0344,-0.021066666666666664,6.746146851020917e-19,0.005800000000000003,-0.016444444444444452,-0.5850000000000001,0.0
5,5,227665.19333333333,0.7074533333333333,0.7027533333333333,5.14,-5.945493333333333,0.5666666666666667,0.12489866666666667,0.12430355333333333,0.008454741466666667,0.19001333333333334,0.534136,119.3894,4.006666666666667,-277.87919463087246,-0.00012080536912751614,-0.002704697986577181,0.0,-0.02173154362416107,-0.006711409395973154,0.0002496644295302016,0.0012422818791946299,-1.3970927323303143e-19,-0.001469798657718121,-0.001248322147651007,0.16106040268456379,0.0
6,6,260212.45454545456,0.6146666666666666,0.7421818181818182,5.212121212121212,-5.814242424242424,0.42424242424242425,0.1540090909090909,0.13556751515151516,0.0476870803030303,0.20961818181818181,0.48258181818181817,125.27342424242424,3.9696969696969697,-697.03125,-0.0004062500000000021,-0.0045312500000000006,0.0,-0.04137499999999997,0.0,-0.00529375,-0.002668749999999993,1.1468750000000194e-05,-0.0021781249999999995,-0.01321875,-1.50271875,0.0
7,7,233584.92105263157,0.7286315789473684,0.6474473684210525,4.7631578947368425,-6.135052631578947,0.47368421052631576,0.14221315789473685,0.12927023684210526,0.022143724210526315,0.20767368421052632,0.42914736842105267,129.3132894736842,4.0,-808.6486486486486,-0.0031621621621621618,0.0038108108108108113,0.24324324324324326,0.03318918918918921,-0.02702702702702703,-0.0006432432432432459,-0.002191891891891896,1.651943174969468e-19,0.0029729729729729695,0.00808108108108108,-0.37335135135135117,0.0
8,8,234439.90598290597,0.7582307692307692,0.6445897435897436,5.3418803418803416,-6.299085470085471,0.5897435897435898,0.19612564102564103,0.1069458888888889,0.0032748904273504275,0.2037854700854701,0.4925752136752137,122.32423931623931,4.034188034188034,918.6206896551724,-0.0015775862068965517,0.00016379310344827506,0.0,-0.043068965517241375,0.0,0.0018120689655172408,-9.482758620689671e-05,-4.4863538171813976e-20,0.0033017241379310353,0.0005603448275862064,0.5013965517241379,0.0
9,9,222183.3422222222,0.6761155555555556,0.7169733333333332,5.248888888888889,-5.409862222222222,0.5111111111111111,0.08544266666666667,0.12065516888888889,0.014719516844444443,0.18370488888888886,0.5078231111111111,117.18975555555555,4.013333333333334,-116.84375,6.250000000000006e-05,-0.0003928571428571432,0.03571428571428571,0.00461607142857142,-0.004464285714285714,0.0001607142857142857,-0.0002521875000000004,6.964285714285714e-08,0.0002977678571428563,-0.0012321428571428568,-0.017870535714285714,0.0
10,10,229870.0909090909,0.6811409090909091,0.7091590909090908,5.245454545454545,-5.537172727272727,0.5318181818181819,0.14214136363636365,0.10600947863636365,0.02884832027272727,0.19469954545454546,0.4460209090909091,127.06718636363635,3.977272727272727,-213.69406392694063,-0.0006529680365296804,0.0015022831050228308,0.0045662100456621,0.0272876712328767,0.0,-0.0011771689497716898,-0.0009223744292237437,1.4840182648397655e-06,-6.849315068493183e-05,0.0002465753424657521,0.11947945205479445,0.0
11,11,232407.94736842104,0.6590526315789473,0.7626315789473684,4.421052631578948,-5.891894736842105,0.5263157894736842,0.20508421052631579,0.12002210526315789,0.08027105894736843,0.22897368421052633,0.5664736842105264,104.80057894736842,4.052631578947368,-5210.555555555556,0.0026111111111111075,-0.004833333333333332,-0.2222222222222222,-0.002499999999999996,-0.05555555555555555,-0.005333333333333332,0.007377777777777778,0.03988888888888889,0.009333333333333329,0.013888888888888888,1.4278333333333337,0.0
12,12,218673.29032258064,0.6505725806451613,0.6860564516129032,5.42741935483871,-5.599838709677419,0.6048387096774194,0.0940024193548387,0.1356255564516129,0.001598621935483871,0.1922266129032258,0.5420443548387096,122.54994354838709,3.9919354838709675,-223.41463414634146,0.0016097560975609749,5.691056910569111e-05,-0.07317073170731707,0.018349593495934957,0.008130081300813009,-0.0007495934959349594,0.0002245528455284587,7.051721447060192e-21,4.878048780487809e-05,-0.0006991869918699184,-0.048845528455284636,0.0
13,13,216891.2718446602,0.7114368932038836,0.7077087378640777,5.174757281553398,-5.4159999999999995,0.5242718446601942,0.12850388349514563,0.09558795145631067,0.0011265831067961164,0.18975825242718447,0.5865922330097088,119.5845145631068,4.019417475728155,91.31372549019608,-0.00023529411764705794,0.0030686274509803923,0.09803921568627451,0.007362745098039232,-0.00980392156862745,0.0003774509803921572,-0.0010568627450980384,0.0,0.00263921568627451,-0.002549019607843137,0.03870588235294125,0.0
14,14,251894.63333333333,0.7193,0.6900666666666666,4.466666666666667,-6.580466666666666,0.5,0.11137333333333334,0.14188133333333333,0.002746548666666667,0.14300333333333332,0.6502,116.65186666666666,3.966666666666667,2613.344827586207,-0.00034482758620689685,0.008241379310344825,-0.2413793103448276,0.020758620689655182,-0.034482758620689655,0.002662068965517241,0.01429655172413793,-7.862068965524387e-08,-0.001382758620689653,-0.0025862068965517245,-0.9321034482758622,0.0
15,15,219481.68,0.6016400000000001,0.67522,3.54,-5.56602,0.7,0.060073999999999995,0.21202390000000002,0.0031721080000000003,0.161174,0.4573,118.42415999999999,3.96,-1527.0816326530612,0.0018163265306122465,0.010632653061224493,-0.12244897959183673,0.08865306122448978,0.0,-0.0003693877551020413,-0.01877755102040816,0.0,0.0008612244897959187,0.0033877551020408156,0.2338163265306124,0.0
16,16,222544.37297297298,0.7555351351351351,0.6056594594594594,5.0,-6.667870270270271,0.6108108108108108,0.19670702702702703,0.13170547027027027,0.006371055891891892,0.17809837837837839,0.45706486486486486,130.3786054054054,3.9891891891891893,194.72282608695653,-0.00021739130434782658,0.0005108695652173917,0.043478260869565216,-0.0019402173913043539,0.005434782608695652,-0.00042771739130434845,-0.0014673913043478262,7.771739130434781e-08,0.0016195652173913036,-0.0001141304347826082,-0.016967391304347903,0.0
17,17,224412.46753246753,0.6771168831168831,0.6240389610389611,5.571428571428571,-6.62774025974026,0.5974025974025974,0.12596493506493509,0.16291264935064934,0.0001329638961038961,0.19424545454545453,0.4923844155844156,122.26153246753246,4.012987012987013,-125.3157894736842,-0.0013684210526315787,-0.005565789473684211,-0.05263157894736842,-0.057644736842105256,0.013157894736842105,0.002328947368421052,-0.00033236842105263046,3.6315789473684213e-07,-0.00881578947368421,-0.005852631578947368,0.22403947368421054,0.0
18,18,264498.3125,0.7420625,0.61075,5.5625,-6.71575,0.625,0.22585,0.151979375,0.0008941756250000001,0.20290625,0.399125,119.974125,4.0,16627.466666666667,-0.0006000000000000005,-0.0202,-0.26666666666666666,-0.4484000000000001,0.0,0.0036666666666666644,0.046933333333333334,-1.1200000000002874e-07,0.02286666666666666,0.00586666666666667,-1.1900666666666666,0.0
19,19,222825.80272108843,0.744938775510204,0.6213945578231292,4.979591836734694,-6.733863945578231,0.5782312925170068,0.20034965986394557,0.15586519727891157,0.002812826326530612,0.2062061224489796,0.44493605442176876,124.25067346938775,4.01360544217687,609.1301369863014,-6.164383561643841e-05,0.002164383561643836,0.0,-0.022239726027397277,-0.00684931506849315,0.000849315068493151,0.000389726027397259,-1.8974698337602155e-19,0.00020205479452054851,-0.000650684931506849,-0.25326712328767115,0.0
20,20,228839.96153846153,0.7345576923076924,0.683451923076923,5.4423076923076925,-5.863461538461538,0.5480769230769231,0.12855865384615386,0.16483458653846156,0.005275892788461538,0.19271346153846156,0.6273932692307693,125.87948076923077,3.9615384615384617,161.10679611650485,-0.003592233009708738,-0.0024368932038834946,0.06796116504854369,-0.07263106796116504,0.0,-0.00195242718446602,0.0017572815533980592,0.0009669902912621359,0.0027553398058252432,-0.00358252427184466,0.01607766990291254,-0.02912621359223301
21,21,223373.6724137931,0.6213620689655173,0.6471896551724138,4.827586206896552,-7.190931034482759,0.7241379310344828,0.05958275862068965,0.22908825862068966,0.10181630827586206,0.18411206896551724,0.5539793103448276,116.87922413793103,3.9482758620689653,1801.6315789473683,-0.0016491228070175444,-0.004649122807017544,0.03508771929824561,-0.06342105263157896,0.0,-0.0008350877192982463,0.0018456140350877198,0.00021754385964912215,-0.005149122807017543,-0.006508771929824559,-0.31810526315789484,0.0
22,22,205467.925,0.626125,0.6933499999999999,6.15,-6.5699749999999995,0.6,0.0847025,0.18166617499999999,0.0475940275,0.22749000000000003,0.563025,118.496175,3.85,313.6923076923077,-0.0012051282051282035,-0.001974358974358976,-0.2564102564102564,-0.03794871794871803,0.02564102564102564,0.005810256410256412,-0.0033025641025641005,1.2282051282051282e-05,-0.003099999999999996,0.010307692307692308,1.7167948717948713,0.0
23,23,208939.37837837837,0.5969864864864864,0.6863445945945945,4.52027027027027,-5.760398648648649,0.8581081081081081,0.06522297297297297,0.17519894797297297,0.007882135675675675,0.18262635135135136,0.5427229729729729,120.95692567567568,3.9594594594594597,-99.02721088435374,-0.001231292517006803,0.0015714285714285698,-0.013605442176870748,0.03063945578231293,0.006802721088435374,-0.0011054421768707486,-0.0004470068027210897,2.3048515571545587e-23,0.0001265306122448993,0.0006530612244897949,-0.06175510204081635,0.0
24,24,218941.56140350876,0.6227368421052631,0.6619824561403508,4.649122807017544,-6.221070175438596,0.8070175438596491,0.05587894736842105,0.26356473684210524,0.01156644350877193,0.18178596491228072,0.5647350877192983,117.91131578947368,3.9473684210526314,-2274.0535714285716,1.7857142857142872e-05,0.0034821428571428564,0.08928571428571429,-0.04057142857142854,0.0,8.392857142857136e-05,-0.001696428571428567,1.2107142857142122e-06,0.0021249999999999993,0.001428571428571428,0.0456785714285713,0.017857142857142856
25,25,231856.73214285713,0.6239464285714286,0.7325357142857143,5.178571428571429,-7.050357142857143,0.5892857142857143,0.06574464285714286,0.1575990357142857,0.019645727499999998,0.1960625,0.6521964285714287,122.87132142857142,4.017857142857143,-955.9636363636364,0.006381818181818182,-0.0008909090909090906,-0.03636363636363636,0.03467272727272729,-0.01818181818181818,5.272727272727291e-05,0.0019272727272727293,-0.00017521454545454558,-0.00048727272727272963,-0.007181818181818181,-1.8350181818181819,0.0
26,26,224796.46808510637,0.7406028368794326,0.6157517730496453,4.914893617021277,-6.5881134751773045,0.6099290780141844,0.16315248226950355,0.12832570921985814,0.0016295417730496455,0.19796028368794327,0.4206517730496454,127.16714184397162,3.9858156028368796,-432.6642857142857,0.0021000000000000003,0.0034857142857142856,-0.02142857142857143,0.04455714285714285,0.007142857142857143,-0.00011285714285714351,-0.0003664285714285705,-2.7000000000063074e-08,0.001447142857142859,0.002907142857142858,0.17837857142857141,0.0
27,27,216310.2162162162,0.6451081081081081,0.7965675675675675,4.891891891891892,-4.832216216216216,0.7027027027027027,0.05842432432432433,0.059360135135135134,0.0197259972972973,0.19974864864864864,0.5059540540540541,121.0124864864865,4.0,-1531.111111111111,-0.003222222222222222,-0.0033055555555555555,-0.027777777777777776,0.058361111111111114,0.0,4.4444444444444176e-05,0.00028194444444444274,-0.01838888888888889,-0.0071111111111111115,0.010038888888888892,0.1637777777777782,0.0
28,28,237154.99166666667,0.7458333333333333,0.6314333333333334,4.55,-6.307116666666667,0.5916666666666667,0.17295166666666667,0.09750146666666668,0.00158901275,0.18485249999999998,0.4771141666666667,121.532025,3.9833333333333334,-40.563025210084035,-0.001142857142857143,-8.403361344537822e-06,0.03361344537815126,0.009747899159663866,0.008403361344537815,1.6806722689075878e-05,6.042016806722737e-05,4.647058823529475e-07,0.0007159663865546223,-0.003336134453781513,-0.05253781512605038,0.0
29,29,242509.50224215246,0.7191300448430494,0.750237668161435,5.443946188340807,-6.67590134529148,0.5426008968609866,0.08634663677130044,0.10358411121076233,0.04863823448430493,0.19123766816143498,0.7219932735426009,121.41541255605381,4.004484304932736,-276.8738738738739,-0.0009684684684684683,0.0008963963963963962,0.04954954954954955,-0.007211711711711711,-0.0045045045045045045,8.963963963964001e-05,0.00026441441441441525,0.0044459459459459455,-0.001819819819819819,-0.0001081081081081082,0.03661711711711714,0.0
30,30,221879.0,0.7308888888888889,0.7120000000000001,4.555555555555555,-5.007555555555555,0.5555555555555556,0.09726666666666667,0.24445555555555554,7.322222222222222e-07,0.14156666666666667,0.7683333333333333,122.19322222222223,4.0,-2688.375,0.005249999999999991,-0.007000000000000006,-0.25,-0.052000000000000046,-0.125,-0.008875000000000001,0.026999999999999993,1.5625e-07,0.004499999999999997,0.004125000000000004,-0.4832499999999982,0.0
31,31,214389.43859649124,0.7140701754385964,0.7431929824561404,5.175438596491228,-5.414052631578947,0.5789473684210527,0.08832631578947368,0.08955505263157894,0.029081425789473685,0.2292701754385965,0.6332456140350877,117.53626315789474,3.982456140350877,417.3392857142857,-0.0032857142857142846,0.003910714285714286,0.05357142857142857,0.12408928571428571,-0.017857142857142856,-0.001583928571428571,-0.00138017857142857,0.0016533589285714283,-4.1071428571429003e-05,-0.008392857142857143,0.5891428571428572,0.0
32,32,246571.34146341463,0.594829268292683,0.6988731707317073,6.414634146341464,-8.656682926829268,0.6829268292682927,0.08451463414634147,0.2347241195121951,0.09998791414634146,0.19461463414634145,0.6231317073170732,125.34121951219511,4.024390243902439,-2930.0,-0.01255,-2.500000000000002e-05,-0.05,-0.013624999999999998,-0.025,-0.0010849999999999998,0.008112499999999996,0.005745325000000006,-0.018925000000000004,-0.008049999999999995,0.9301999999999999,0.0
33,33,229284.3537414966,0.7444693877551021,0.6515850340136055,4.836734693877551,-5.898775510204081,0.5918367346938775,0.1637625850340136,0.1192314761904762,0.0032660907482993193,0.1879156462585034,0.47607823129251703,121.37734693877552,3.993197278911565,-170.95890410958904,-0.00013013698630137,-0.0018767123287671233,-0.0410958904109589,-0.02149315068493151,0.0,0.001363013698630137,0.002004109589041096,-2.3206382116556172e-23,-0.0009246575342465747,-0.00295205479452055,0.13584931506849318,-0.00684931506849315
34,34,239682.42465753425,0.7181780821917808,0.6854246575342466,4.821917808219178,-6.79754794520548,0.6027397260273972,0.14067808219178082,0.12608852602739726,0.04447737589041096,0.19383561643835617,0.5477397260273973,118.53024657534247,3.958904109589041,1032.7777777777778,0.0008750000000000008,-0.003250000000000001,0.027777777777777776,-0.033097222222222236,-0.013888888888888888,0.004602777777777777,0.0016791666666666663,-5.736111111110993e-05,2.777777777777549e-05,0.0041666666666666675,0.4989305555555554,0.0
35,35,179051.5,0.7299,0.8045,4.9,-4.3311,0.7,0.08824,0.034323000000000006,0.001350439,0.29115,0.6403000000000001,128.0222,4.0,-1058.7777777777778,0.019333333333333338,0.01855555555555556,0.4444444444444444,0.065,0.0,-0.008977777777777777,0.0010555555555555557,0.0,0.033333333333333326,-0.007333333333333327,-9.110666666666665,0.0
36,36,234633.01829268291,0.6690182926829268,0.5101713414634146,6.085365853658536,-8.949719512195122,0.40853658536585363,0.1802939024390244,0.3259863414634146,0.04118119713414634,0.18920182926829268,0.4266810975609756,112.29464024390244,3.9390243902439024,-1111.3496932515338,-0.00011042944785276084,0.001423312883435583,-0.03067484662576687,-0.005969325153374232,0.006134969325153374,0.0021595092024539876,0.004770552147239264,-1.368098159640494e-08,1.2269938650305396e-05,0.0034797546012269934,-0.10901840490797543,0.0
37,37,232163.11956521738,0.675695652173913,0.665445652173913,6.0,-6.45979347826087,0.5978260869565217,0.21310652173913042,0.1751561847826087,0.030647606195652172,0.24165,0.42737934782608694,121.13000000000001,3.9782608695652173,1285.043956043956,9.890109890109899e-05,3.296703296703239e-05,0.0,0.007384615384615371,0.0,0.0020197802197802197,0.0029687912087912106,-3.950549450549402e-05,-0.00223076923076923,-0.00045054945054945035,0.5386263736263734,0.0
38,38,238186.5294117647,0.7008235294117647,0.7384705882352941,5.352941176470588,-7.827882352941177,0.7647058823529411,0.07160588235294119,0.14244735294117647,0.004102716470588235,0.2767764705882353,0.7660588235294118,124.04070588235294,4.0,-2044.1875,-0.018125000000000002,0.018812500000000003,0.0625,0.009687500000000071,0.0625,-0.012299999999999998,-0.011758124999999993,1.412500000000014e-06,-0.006387500000000003,-0.013687499999999998,4.0078125,0.0
39,39,236994.56129032257,0.7113870967741935,0.7116451612903226,5.15483870967742,-5.631451612903226,0.6516129032258065,0.16964838709677418,0.10192561290322581,0.008101426,0.23560516129032258,0.4803335483870968,125.39824516129032,4.006451612903226,365.5844155844156,-7.792207792207799e-05,-0.00015584415584415562,-0.06493506493506493,0.005558441558441552,0.0,-9.090909090909044e-05,-0.0005649350649350649,1.4643769602401618e-19,0.0004915584415584408,-0.004006493506493508,-0.08787662337662339,0.0
40,40,226591.07843137256,0.7476666666666667,0.7316078431372549,4.803921568627451,-5.307490196078431,0.5294117647058824,0.12656470588235294,0.1006001568627451,0.0035972847058823526,0.14498823529411764,0.6848235294117647,112.99317647058824,4.0,428.0,-0.006000000000000001,0.0025,-0.12,-0.04815999999999999,0.02,-0.005328,-0.004555999999999998,2.168404344971009e-21,0.005184000000000002,0.0013999999999999967,0.7760600000000002,0.0
41,41,233723.60294117648,0.6686764705882353,0.7474264705882353,6.0588235294117645,-5.378338235294117,0.6176470588235294,0.12379264705882352,0.11530127941176471,0.00048134661764705883,0.21589705882352941,0.5946264705882354,119.02495588235294,4.0588235294117645,-12.343283582089553,-0.0007313432835820902,0.001029850746268656,0.08955223880597014,0.02337313432835822,0.0,0.0050805970149253735,0.0034477611940298522,-1.1007462686567205e-06,-0.0036985074626865676,-0.0004776119402985079,0.8490149253731342,0.0
42,42,208862.14876033057,0.5914876033057851,0.7870578512396694,4.644628099173554,-5.2951652892561984,0.9421487603305785,0.043797520661157024,0.12117297520661156,0.0015331004958677686,0.18496528925619835,0.6910082644628098,131.6794132231405,4.0,118.55833333333334,0.00025833333333333356,0.0003249999999999994,0.025,0.013783333333333344,-0.008333333333333333,-0.00011499999999999994,-0.0020425,-3.85833333333326e-07,0.0004341666666666659,0.0004249999999999999,-0.7249333333333333,0.0
43,43,229799.33333333334,0.587,0.5949333333333333,4.666666666666667,-7.642033333333333,0.5666666666666667,0.14845333333333333,0.24226533333333336,0.013968706999999999,0.18077666666666667,0.3144933333333333,119.0331,3.933333333333333,2536.0689655172414,-0.004655172413793104,-0.002758620689655172,-0.06896551724137931,-0.04596551724137932,-0.034482758620689655,0.016310344827586202,0.010206896551724144,-1.1963610179150394e-19,-0.001279310344827587,0.004413793103448276,1.3521724137931033,-0.034482758620689655
