,playlist_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,diff_popularity,diff_duration_ms,diff_danceability,diff_energy,diff_key,diff_loudness,diff_mode,diff_speechiness,diff_acousticness,diff_instrumentalness,diff_liveness,diff_valence,diff_tempo,diff_time_signature
1169,1547,35.86868686868687,217672.80808080808,0.6812323232323233,0.6165606060606061,5.212121212121212,-7.056075757575758,0.6111111111111112,0.16328535353535353,0.23387968686868685,0.00854873914141414,0.1731550505050505,0.47904191919191924,119.38909595959596,3.9646464646464645,0.1218274111675127,-4.807106598984771,-0.0012030456852791878,-0.000634517766497465,0.005076142131979695,-0.004461928934010181,0.0,0.0018111675126903585,0.0006776142131979701,8.477157360461416e-09,-0.001218274111675125,-0.001147208121827409,0.2290964467005075,0.0
1170,1548,53.17391304347826,227820.4347826087,0.5957391304347827,0.6587391304347826,6.130434782608695,-6.536304347826087,0.8695652173913043,0.037573913043478256,0.22202826086956523,0.004477431739130434,0.11782608695652173,0.4132608695652174,118.84082608695653,3.739130434782609,0.0,-1422.4545454545455,0.009954545454545436,-0.004045454545454549,0.2727272727272727,-0.05213636363636365,0.0,0.0003318181818181813,-0.0013727272727272755,0.0003245454545454544,0.0009954545454545398,0.016681818181818193,-0.09136363636363627,0.0
1171,1549,41.61290322580645,224278.35483870967,0.6910322580645162,0.5211935483870968,5.516129032258065,-8.327774193548388,0.3870967741935484,0.13342903225806452,0.26093870967741933,0.0028866764516129032,0.1908258064516129,0.35792903225806455,115.12987096774194,3.967741935483871,-0.36666666666666664,-418.23333333333335,0.00010000000000000749,-3.333333333334632e-05,0.3,0.039400000000000074,0.0,-0.009566666666666664,-0.004699999999999997,-5.400000000003709e-06,0.0009400000000000075,0.007566666666666667,0.030600000000000214,0.0
1172,1550,59.8,241807.33333333334,0.5379888888888888,0.5909222222222222,5.277777777777778,-7.223511111111111,0.8777777777777778,0.03530777777777778,0.3021605777777778,0.001960351111111111,0.14490333333333333,0.41864444444444443,121.29933333333334,3.9444444444444446,0.0,-405.08988764044943,0.0020674157303370755,-0.0020112359550561757,-0.06741573033707865,-0.06198876404494382,0.0,-1.9101123595506848e-05,0.0049786516853932705,1.5393258426851729e-07,-7.415730337079309e-05,0.001505617977528091,-0.3793820224719103,0.0
1173,1551,14.833333333333334,212275.88888888888,0.4508888888888889,0.63725,5.611111111111111,-7.448444444444444,0.8333333333333334,0.07760277777777777,0.20545769166666666,0.011941415,0.17930555555555555,0.3205138888888889,124.62511111111111,3.888888888888889,-0.5142857142857142,-1828.6285714285714,0.00428571428571427,0.003799999999999994,0.0,0.05777142857142853,0.0,-6.000000000000569e-05,-0.000436857142857144,-7.657142857144369e-06,-0.0007342857142857147,0.0002571428571428637,-0.5790571428571427,0.0
1174,1552,40.22222222222222,228592.61111111112,0.5524444444444444,0.49955555555555553,4.944444444444445,-9.774555555555557,0.6666666666666666,0.045344444444444444,0.43088333333333334,0.04285636833333333,0.1705111111111111,0.5603333333333333,122.12916666666666,3.7777777777777777,2.7058823529411766,756.0588235294117,-0.011411764705882357,-0.028470588235294126,-0.6470588235294118,0.07164705882352947,0.058823529411764705,-0.003705882352941171,0.047299999999999995,-0.0001311764705882378,-0.011705882352941184,-0.02164705882352941,-1.6394705882352956,0.0
1175,1553,35.27358490566038,230080.7641509434,0.5033490566037736,0.30720943396226413,4.613207547169812,-10.264575471698114,0.8113207547169812,0.03867735849056604,0.7044131132075472,0.02192407716981132,0.1354990566037736,0.28734622641509433,118.20891509433963,3.8207547169811322,0.5714285714285714,563.7904761904762,-0.002371428571428577,0.0018285714285714285,0.05714285714285714,0.08576190476190472,0.0,-6.666666666666663e-05,-0.002123809523809525,-0.0016856336190476172,-0.0001571428571428624,-0.0001619047619047647,0.14359047619047619,0.0
1176,1554,37.394366197183096,234493.85915492958,0.4779577464788733,0.32899295774647885,5.056338028169014,-9.645394366197182,0.8732394366197183,0.03657605633802817,0.6915422535211267,0.011700787887323942,0.1374380281690141,0.23930845070422535,120.86956338028169,3.8732394366197185,0.4142857142857143,-1180.2714285714285,0.00014285714285715092,-0.001985714285714288,0.014285714285714285,-0.04849999999999996,0.0,0.0003414285714285743,0.004042857142857135,-1.5798374513360207e-18,0.007428571428571438,0.0026400000000000013,0.2559142857142858,0.0
1177,1555,37.11965811965812,232894.55555555556,0.5841794871794872,0.5386188034188034,5.495726495726496,-7.947803418803419,0.7094017094017094,0.06924957264957265,0.39905157863247864,0.024223051111111112,0.16274871794871795,0.45901623931623936,114.20280341880341,3.948717948717949,0.13793103448275862,-673.2241379310345,-0.0017758620689655147,-0.0028534482758620695,0.07758620689655173,0.007862068965517279,0.0,3.448275862068557e-05,0.0017068965517241293,-0.00015774629310345256,-0.00043448275862068773,-0.00043965517241379445,-0.3162241379310344,0.0
1178,1556,23.31111111111111,232854.93333333332,0.5863999999999999,0.4935777777777777,4.311111111111111,-8.914933333333334,0.6222222222222222,0.05838444444444445,0.47911488888888887,0.10888399844444445,0.14125333333333334,0.2963111111111111,116.79462222222222,4.0,0.0,2293.9772727272725,-0.001931818181818179,-0.0034772727272727316,-0.09090909090909091,0.026454545454545488,-0.022727272727272728,-0.0010136363636363587,-0.008431818181818183,4.4090909090910135e-05,-0.005722727272727273,-0.0024545454545454484,0.9040909090909092,0.0
1179,1557,49.365979381443296,236077.5,0.6827525773195877,0.5747046391752577,4.969072164948454,-7.535871134020619,0.5257731958762887,0.16525463917525776,0.2868702577319588,0.013117053092783505,0.19219226804123712,0.42640257731958764,120.46372680412371,3.9690721649484537,-0.24870466321243523,490.9119170984456,0.001347150259067358,0.002580310880829013,0.025906735751295335,0.030994818652849747,-0.0051813471502590676,0.0002927461139896347,-0.004744559585492231,-0.0003886010362694283,-0.00013471502590673342,0.0021709844559585504,-0.004860103626942944,0.0
1180,1558,36.583333333333336,250099.58333333334,0.5841666666666666,0.7050000000000001,5.666666666666667,-6.824750000000001,0.6666666666666666,0.044025,0.31798583333333336,0.020287083333333334,0.11267500000000001,0.49266666666666664,122.86066666666666,4.0,4.636363636363637,-4191.545454545455,0.0023636363636363555,-0.006272727272727277,0.7272727272727273,-0.061090909090909064,0.09090909090909091,0.0002454545454545635,0.049709090909090904,0.00010999999999999236,0.0006000000000000002,-0.000818181818181829,2.502999999999999,0.0
